agency,complaint_type,best_model
DCA,consumer complaint,ets
DEP,air quality,arima
DEP,lead,ets
DEP,noise,prophet
DEP,other,arima
DEP,sewer,arima
DEP,water conservation,arima
DEP,water system,mean
DHS,homeless person assistance,ets
DOB,building/use,ets
DOB,elevator,prophet
DOB,emergency response team (ert),ets
DOB,general construction/plumbing,ets
DOB,other,ets
DOB,plumbing,ets
DOB,special projects inspection team (spit),ets
DOHMH,food establishment,ets
DOHMH,indoor air quality,ets
DOHMH,other,prophet
DOT,curb condition,arima
DOT,other,arima
DOT,sidewalk condition,arima
DOT,street condition,ets
DOT,street light condition,ets
DOT,street sign - damaged,prophet
DOT,street sign - missing,ets
DOT,traffic signal condition,arima
DPR,damaged tree,arima
DPR,dead/dying tree,ets
DPR,maintenance or facility,arima
DPR,new tree request,prophet
DPR,other,arima
DPR,overgrown tree/branches,ets
DPR,root/sewer/sidewalk condition,arima
DPR,violation of park rules,arima
DSNY,derelict vehicles,arima
DSNY,dirty conditions,arima
DSNY,graffiti,ets
DSNY,missed collection (all materials),ets
DSNY,other,snaive
DSNY,other enforcement,ets
DSNY,sanitation condition,ets
HPD,appliance,ets
HPD,door/window,ets
HPD,electric,ets
HPD,flooring/stairs,ets
HPD,general,ets
HPD,heat/hot water,drift
HPD,other,ets
HPD,paint/plaster,ets
HPD,plumbing,ets
HPD,safety,ets
HPD,unsanitary condition,ets
HPD,water leak,arima
NYPD,blocked driveway,ets
NYPD,illegal fireworks,naive
NYPD,illegal parking,arima
NYPD,noise - commercial,arima
NYPD,noise - park,ets
NYPD,noise - residential,ets
NYPD,noise - street/sidewalk,arima
NYPD,noise - vehicle,arima
NYPD,non-emergency police matter,ets
NYPD,other,arima
NYPD,traffic,arima
TLC,for hire vehicle complaint,arima
TLC,other,arima
TLC,taxi complaint,arima
DOHMH,rodent,ets
DOT,broken parking meter,prophet
NYPD,abandoned vehicle,ets
NYPD,animal-abuse,ets
MAYORâS OFFICE OF SPECIAL ENFORCEMENT,other,ets
DHS,other,arima
