agency,complaint_type,best_model
DCA,Consumer Complaint,ets
DEP,Air Quality,arima
DEP,Lead,ets
DEP,Noise,arima
DEP,other,ets
DEP,Sewer,prophet
DEP,Water Conservation,arima
DEP,Water System,prophet
DHS,Homeless Person Assistance,arima
DOB,Building/Use,arima
DOB,Elevator,arima
DOB,Emergency Response Team (ERT),arima
DOB,General Construction/Plumbing,arima
DOB,other,ets
DOB,Plumbing,ets
DOB,Special Projects Inspection Team (SPIT),ets
DOHMH,Food Establishment,ets
DOHMH,Indoor Air Quality,arima
DOHMH,other,arima
DOT,Curb Condition,arima
DOT,other,arima
DOT,Sidewalk Condition,arima
DOT,Street Condition,snaive
DOT,Street Light Condition,ets
DOT,Street Sign - Damaged,prophet
DOT,Street Sign - Missing,arima
DOT,Traffic Signal Condition,arima
DPR,Damaged Tree,naive
DPR,Dead/Dying Tree,arima
DPR,Maintenance or Facility,arima
DPR,New Tree Request,prophet
DPR,other,prophet
DPR,Overgrown Tree/Branches,arima
DPR,Root/Sewer/Sidewalk Condition,arima
DPR,Violation of Park Rules,arima
DSNY,Derelict Vehicles,arima
DSNY,Dirty Conditions,arima
DSNY,Graffiti,ets
DSNY,Missed Collection (All Materials),ets
DSNY,other,drift
DSNY,Other Enforcement,ets
DSNY,Sanitation Condition,ets
HPD,APPLIANCE,arima
HPD,DOOR/WINDOW,ets
HPD,ELECTRIC,ets
HPD,FLOORING/STAIRS,ets
HPD,GENERAL,ets
HPD,HEAT/HOT WATER,ets
HPD,other,ets
HPD,PAINT/PLASTER,ets
HPD,PLUMBING,ets
HPD,SAFETY,ets
HPD,UNSANITARY CONDITION,ets
HPD,WATER LEAK,prophet
NYPD,Blocked Driveway,arima
NYPD,Illegal Parking,arima
NYPD,Noise - Commercial,arima
NYPD,Noise - Park,arima
NYPD,Noise - Residential,arima
NYPD,Noise - Street/Sidewalk,arima
NYPD,Noise - Vehicle,arima
NYPD,Non-Emergency Police Matter,ets
NYPD,other,arima
NYPD,Traffic,arima
TLC,For Hire Vehicle Complaint,ets
TLC,other,arima
TLC,Taxi Complaint,arima
DOHMH,Rodent,arima
NYPD,Illegal Fireworks,arima
DOT,Broken Parking Meter,prophet
NYPD,Abandoned Vehicle,arima
NYPD,Animal-Abuse,prophet
MAYORâS OFFICE OF SPECIAL ENFORCEMENT,other,naive
DHS,other,arima
