unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location.latitude,location.longitude,location.human_address,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,facility_type,road_ramp,due_date,vehicle_type,taxi_company_borough
51924631,2021-09-21T04:45:18Z,2021-09-21T04:49:27Z,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11215,560 CARROLL STREET,CARROLL STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,CARROLL STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2021-09-21T08:49:34Z,06 BROOKLYN,3009617502,BROOKLYN,988871,185533,MOBILE,Unspecified,BROOKLYN,40.6759207763958,-73.98334060223104,40.6759207763958,-73.98334060223104,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51924662,2021-09-21T04:57:19Z,2021-09-21T05:35:33Z,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11234,1484 EAST   52 STREET,EAST   52 STREET,AVENUE L,AVENUE M,AVENUE L,AVENUE M,ADDRESS,BROOKLYN,EAST   52 STREET,Closed,The Police Department issued a summons in response to the complaint.,2021-09-21T09:35:38Z,18 BROOKLYN,3078490050,BROOKLYN,1004974,166181,PHONE,Unspecified,BROOKLYN,40.62278070307441,-73.92534634823828,40.62278070307441,-73.92534634823828,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51924678,2021-09-21T05:42:40Z,2021-09-21T06:24:16Z,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11212,EAST   91 STREET,EAST   91 STREET,EAST   91 STREET,LENOX ROAD,EAST   91 STREET,LENOX ROAD,INTERSECTION,NA,NA,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T10:24:24Z,17 BROOKLYN,NA,BROOKLYN,1005662,178486,PHONE,Unspecified,BROOKLYN,40.65655364582783,-73.92282893063734,40.65655364582783,-73.92282893063734,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51924711,2021-09-21T05:08:05Z,2021-09-21T10:45:45Z,DHS,Department of Homeless Services,Homeless Person Assistance,NA,Subway,NA,NA,NA,NA,NA,NA,NA,ADDRESS,NA,NA,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2021-09-21T10:45:45Z,Unspecified MANHATTAN,NA,MANHATTAN,993428,232185,MOBILE,Unspecified,MANHATTAN,40.80396534055343,-73.9668482836493,40.80396534055343,-73.9668482836493,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",1,1 Uptown & The Bronx,Platform,NA,NA,NA,NA,NA,NA
51924729,2021-09-21T05:52:43Z,2021-09-21T06:02:31Z,DHS,Department of Homeless Services,Homeless Person Assistance,NA,Subway,NA,NA,NA,NA,NA,NA,NA,ADDRESS,NA,NA,Closed,The Department of Homeless Services did not have enough information to act on your request.,2021-09-21T06:02:31Z,Unspecified BRONX,NA,BRONX,1008046,232705,MOBILE,Unspecified,BRONX,40.8053653198604,-73.91404500517991,40.8053653198604,-73.91404500517991,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",6,6 to Manhattan,Platform,NA,NA,NA,NA,NA,NA
51924760,2021-09-21T04:02:53Z,2021-09-21T06:09:00Z,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10457,601 EAST  182 STREET,EAST  182 STREET,ARTHUR AVENUE,ARTHUR AVENUE,ARTHUR AVENUE,ARTHUR AVENUE,ADDRESS,BRONX,EAST  182 STREET,Closed,The Police Department issued a summons in response to the complaint.,2021-09-21T10:09:04Z,06 BRONX,2030710006,BRONX,1014726,249767,MOBILE,Unspecified,BRONX,40.85217507685369,-73.8898382827293,40.85217507685369,-73.8898382827293,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51924798,2021-09-21T04:47:02Z,2021-09-21T05:08:46Z,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10027,WEST  126 STREET,WEST  126 STREET,FIVE PERCENTERS ALLAH SQUARE,8 AVENUE,FIVE PERCENTERS ALLAH SQUARE,8 AVENUE,BLOCKFACE,NA,NA,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2021-09-21T09:09:03Z,Unspecified MANHATTAN,NA,MANHATTAN,NA,NA,PHONE,Unspecified,MANHATTAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51924799,2021-09-21T04:14:54Z,2021-09-21T04:57:52Z,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11210,685 EAST   22 STREET,EAST   22 STREET,FOSTER AVENUE,FARRAGUT ROAD,FOSTER AVENUE,FARRAGUT ROAD,ADDRESS,BROOKLYN,EAST   22 STREET,Closed,The Police Department issued a summons in response to the complaint.,2021-09-21T08:57:57Z,14 BROOKLYN,3052220002,BROOKLYN,996382,170919,MOBILE,Unspecified,BROOKLYN,40.63580144456758,-73.95628861466949,40.63580144456758,-73.95628861466949,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51924916,2021-09-21T04:57:00Z,2021-09-21T05:03:24Z,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10031,1624 AMSTERDAM AVENUE,AMSTERDAM AVENUE,DOROTHY SKINNER WAY,WEST  141 STREET,DOROTHY SKINNER WAY,WEST  141 STREET,ADDRESS,NEW YORK,AMSTERDAM AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T09:03:33Z,09 MANHATTAN,1020727501,MANHATTAN,998126,238819,ONLINE,Unspecified,MANHATTAN,40.82216768875023,-73.9498649966551,40.82216768875023,-73.9498649966551,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51924937,2021-09-21T04:42:22Z,2021-09-21T04:53:20Z,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10128,333 EAST   90 STREET,EAST   90 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   90 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2021-09-21T08:53:24Z,08 MANHATTAN,1015530016,MANHATTAN,998380,223480,ONLINE,Unspecified,MANHATTAN,40.78006593502672,-73.94897955583579,40.78006593502672,-73.94897955583579,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
