date,agency,complaint_type,.mean,lower_80,upper_80
2021-09-02,DCA,consumer complaint,40,NA,NA
2021-09-03,DCA,consumer complaint,79,NA,NA
2021-09-04,DCA,consumer complaint,65,NA,NA
2021-09-05,DCA,consumer complaint,23,NA,NA
2021-09-06,DCA,consumer complaint,61,NA,NA
2021-09-07,DCA,consumer complaint,58,NA,NA
2021-09-08,DCA,consumer complaint,55,NA,NA
2021-09-09,DCA,consumer complaint,69,NA,NA
2021-09-10,DCA,consumer complaint,76,NA,NA
2021-09-11,DCA,consumer complaint,55,NA,NA
2021-09-12,DCA,consumer complaint,41,NA,NA
2021-09-13,DCA,consumer complaint,73,NA,NA
2021-09-14,DCA,consumer complaint,66,NA,NA
2021-09-15,DCA,consumer complaint,71,NA,NA
2021-09-16,DCA,consumer complaint,81,NA,NA
2021-09-17,DCA,consumer complaint,64,NA,NA
2021-09-18,DCA,consumer complaint,68,NA,NA
2021-09-19,DCA,consumer complaint,49,NA,NA
2021-09-20,DCA,consumer complaint,80,NA,NA
2021-09-21,DCA,consumer complaint,138,NA,NA
2021-09-22,DCA,consumer complaint,6,NA,NA
2021-09-23,DCA,consumer complaint,68.50869730824202,46.13102454743857,90.88637006904547
2021-09-24,DCA,consumer complaint,66.9416922256648,43.91985493635233,89.96352951497727
2021-09-25,DCA,consumer complaint,51.95596977029822,33.228052826196695,70.68388671439973
2021-09-26,DCA,consumer complaint,40.148450007172045,25.037314367944873,55.259585646399216
2021-09-27,DCA,consumer complaint,67.7317548189409,41.19730629814343,94.26620333973837
2021-09-28,DCA,consumer complaint,70.90307094221514,42.070391620292625,99.73575026413765
2021-09-29,DCA,consumer complaint,65.3442030357362,37.82725764143154,92.86114843004086
2021-09-02,DEP,air quality,53,NA,NA
2021-09-03,DEP,air quality,28,NA,NA
2021-09-04,DEP,air quality,7,NA,NA
2021-09-05,DEP,air quality,6,NA,NA
2021-09-06,DEP,air quality,8,NA,NA
2021-09-07,DEP,air quality,10,NA,NA
2021-09-08,DEP,air quality,33,NA,NA
2021-09-09,DEP,air quality,34,NA,NA
2021-09-10,DEP,air quality,17,NA,NA
2021-09-11,DEP,air quality,16,NA,NA
2021-09-12,DEP,air quality,15,NA,NA
2021-09-13,DEP,air quality,30,NA,NA
2021-09-14,DEP,air quality,42,NA,NA
2021-09-15,DEP,air quality,33,NA,NA
2021-09-16,DEP,air quality,37,NA,NA
2021-09-17,DEP,air quality,46,NA,NA
2021-09-18,DEP,air quality,8,NA,NA
2021-09-19,DEP,air quality,12,NA,NA
2021-09-20,DEP,air quality,41,NA,NA
2021-09-21,DEP,air quality,87,NA,NA
